nl,en
Boeren,Agriculture
Overheidsfin. op orde,Budget
Ondernemers klimaat,Business
Investeren in Cultuur,Culture
Investeren in onderwijs en wetenschap,Education
Energie,Environment
Natuur en Klimaat,Environment
Europese Unie,EU
Internat.recht en ontw. samenwerking,Foreign
Mensenrechten,Foreign
Beter Bestuur,Government
Woningbouw,Housing
Investeren in wegen en ov,Infrastructure
Immigratie,Integration
Werkgelegenheid,Labor
Ander onderwerp,None
Geen onderwerp,None
Criminaliteits bestrijding,Order
Burgerrechten,Rights
Sociale zekerheid,Social
Ander/geen onderwerp,None
Criminaliteits bestrijding veiligheid,Order
Sociale zekerheid,Social
Natuur en Klimaat,Environment
Werk (gelegenheid),Labor
Onderwijs en wetenschap,Education
Internat.recht en ontw. samenwerking,Foreign
Ondernemers klimaat,Business
Beter Bestuur,Government
Cultuur,Culture
Europese Unie,EU
Overheidsfin. op orde (belastingen),Budget
Burgerrechten,Rights
Infrastructuur,Infrastructure
Immigratie,Integration
Gezondheids (zorg),Health
Woning(bouw),Housing
Boeren platteland,Agriculture